ensemble,kind,candidate,group,projection,weight,weight_mean,weight_min,weight_max,weight_std,alpha_mean
blend_baseline_static_alpha_0.45,baseline_static_blend,static_p3,static,3,0.1125,0.1125,0.1125,0.1125,0.0,0.45
blend_baseline_static_alpha_0.50,baseline_static_blend,baseline_p0,baseline,0,0.125,0.125,0.125,0.125,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,baseline_p1,baseline,1,0.125,0.125,0.125,0.125,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,baseline_p2,baseline,2,0.125,0.125,0.125,0.125,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,baseline_p3,baseline,3,0.125,0.125,0.125,0.125,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,static_p0,static,0,0.125,0.125,0.125,0.125,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,static_p1,static,1,0.125,0.125,0.125,0.125,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,static_p2,static,2,0.125,0.125,0.125,0.125,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,static_p3,static,3,0.125,0.125,0.125,0.125,0.0,0.5
blend_baseline_static_alpha_0.55,baseline_static_blend,baseline_p0,baseline,0,0.11249999999999999,0.11249999999999999,0.11249999999999999,0.11249999999999999,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,baseline_p1,baseline,1,0.11249999999999999,0.11249999999999999,0.11249999999999999,0.11249999999999999,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,baseline_p2,baseline,2,0.11249999999999999,0.11249999999999999,0.11249999999999999,0.11249999999999999,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,baseline_p3,baseline,3,0.11249999999999999,0.11249999999999999,0.11249999999999999,0.11249999999999999,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,static_p0,static,0,0.1375,0.1375,0.1375,0.1375,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,static_p1,static,1,0.1375,0.1375,0.1375,0.1375,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,static_p2,static,2,0.1375,0.1375,0.1375,0.1375,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,static_p3,static,3,0.1375,0.1375,0.1375,0.1375,0.0,0.55
blend_baseline_static_alpha_0.60,baseline_static_blend,baseline_p0,baseline,0,0.1,0.1,0.1,0.1,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,baseline_p1,baseline,1,0.1,0.1,0.1,0.1,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,baseline_p2,baseline,2,0.1,0.1,0.1,0.1,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,baseline_p3,baseline,3,0.1,0.1,0.1,0.1,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,static_p0,static,0,0.15,0.15,0.15,0.15,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,static_p1,static,1,0.15,0.15,0.15,0.15,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,static_p2,static,2,0.15,0.15,0.15,0.15,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,static_p3,static,3,0.15,0.15,0.15,0.15,0.0,0.6
blend_baseline_static_alpha_0.65,baseline_static_blend,baseline_p0,baseline,0,0.0875,0.0875,0.0875,0.0875,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,baseline_p1,baseline,1,0.0875,0.0875,0.0875,0.0875,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,baseline_p2,baseline,2,0.0875,0.0875,0.0875,0.0875,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,baseline_p3,baseline,3,0.0875,0.0875,0.0875,0.0875,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,static_p0,static,0,0.1625,0.1625,0.1625,0.1625,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,static_p1,static,1,0.1625,0.1625,0.1625,0.1625,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,static_p2,static,2,0.1625,0.1625,0.1625,0.1625,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,static_p3,static,3,0.1625,0.1625,0.1625,0.1625,0.0,0.65
blend_baseline_static_alpha_0.70,baseline_static_blend,baseline_p0,baseline,0,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,baseline_p1,baseline,1,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,baseline_p2,baseline,2,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,baseline_p3,baseline,3,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,static_p0,static,0,0.175,0.175,0.175,0.175,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,static_p1,static,1,0.175,0.175,0.175,0.175,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,static_p2,static,2,0.175,0.175,0.175,0.175,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,static_p3,static,3,0.175,0.175,0.175,0.175,0.0,0.7
blend_baseline_static_alpha_0.75,baseline_static_blend,baseline_p0,baseline,0,0.0625,0.0625,0.0625,0.0625,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,baseline_p1,baseline,1,0.0625,0.0625,0.0625,0.0625,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,baseline_p2,baseline,2,0.0625,0.0625,0.0625,0.0625,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,baseline_p3,baseline,3,0.0625,0.0625,0.0625,0.0625,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,static_p0,static,0,0.1875,0.1875,0.1875,0.1875,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,static_p1,static,1,0.1875,0.1875,0.1875,0.1875,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,static_p2,static,2,0.1875,0.1875,0.1875,0.1875,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,static_p3,static,3,0.1875,0.1875,0.1875,0.1875,0.0,0.75
blend_baseline_static_alpha_0.80,baseline_static_blend,baseline_p0,baseline,0,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,baseline_p1,baseline,1,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,baseline_p2,baseline,2,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,baseline_p3,baseline,3,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,static_p0,static,0,0.2,0.2,0.2,0.2,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,static_p1,static,1,0.2,0.2,0.2,0.2,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,static_p2,static,2,0.2,0.2,0.2,0.2,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,static_p3,static,3,0.2,0.2,0.2,0.2,0.0,0.8
blend_baseline_static_alpha_0.85,baseline_static_blend,baseline_p0,baseline,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,baseline_p1,baseline,1,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,baseline_p2,baseline,2,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,baseline_p3,baseline,3,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,static_p0,static,0,0.2125,0.2125,0.2125,0.2125,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,static_p1,static,1,0.2125,0.2125,0.2125,0.2125,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,static_p2,static,2,0.2125,0.2125,0.2125,0.2125,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,static_p3,static,3,0.2125,0.2125,0.2125,0.2125,0.0,0.85
blend_baseline_static_alpha_0.90,baseline_static_blend,baseline_p0,baseline,0,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.0,0.9
