group,rank,target,target_name,abs_delta_sum,mass_share,active_source_count,top_source,top_source_mass
fold4_all,76,745,745,4.686927676200867,8.188164938825497e-05,2,606,4.061089992523193
fold4_all,77,359,359,3.5945510268211365,6.27975909209968e-05,1,162,3.5945510268211365
fold4_all,78,377,377,3.14414244890213,5.492885476662948e-05,1,360,3.14414244890213
fold4_all,79,215,215,2.579236090183258,4.505981739345024e-05,1,733,2.579236090183258
fold4_all,80,324,324,2.556788921356201,4.466766045512388e-05,1,330,2.556788921356201
fold4_all,81,258,258,1.876126229763031,3.277633468372332e-05,1,295,1.876126229763031
fold4_all,82,545,545,0.7064087390899658,1.2341114840041528e-05,1,273,0.7064087390899658
fold4_all,83,788,788,0.6501712799072266,1.1358634154736836e-05,1,747,0.6501712799072266
fold4_all,84,746,746,0.6236147880554199,1.089468644634073e-05,1,743,0.6236147880554199
fold4_all,85,694,694,0.6209834814071655,1.0848716944933787e-05,1,354,0.6209834814071655
fold4_all,86,298,298,0.6114514470100403,1.0682190223724627e-05,1,224,0.6114514470100403
fold4_all,87,852,852,0.0,0.0,0,0,0.0
fold4_all,88,851,851,0.0,0.0,0,0,0.0
fold4_all,89,849,849,0.0,0.0,0,0,0.0
fold4_all,90,847,847,0.0,0.0,0,0,0.0
fold4_all,91,846,846,0.0,0.0,0,0,0.0
fold4_all,92,29,29,0.0,0.0,0,0,0.0
fold4_all,93,28,28,0.0,0.0,0,0,0.0
fold4_all,94,26,26,0.0,0.0,0,0,0.0
fold4_all,95,832,832,0.0,0.0,0,0,0.0
fold4_all,96,760,760,0.0,0.0,0,0,0.0
fold4_all,97,31,31,0.0,0.0,0,0,0.0
fold4_all,98,32,32,0.0,0.0,0,0,0.0
fold4_all,99,858,858,0.0,0.0,0,0,0.0
fold4_all,100,1,1,0.0,0.0,0,0,0.0
fold4_active,1,840,840,12517.09277844429,0.5388453981167075,312,858,278.32411044836044
fold4_active,2,722,722,3371.115047991276,0.14512234288622497,97,789,146.41211342811584
fold4_active,3,524,524,1620.3815210461617,0.06975542494281921,69,579,86.23890322446823
fold4_active,4,724,724,1052.604445695877,0.04531332248149283,70,140,76.90909111499786
fold4_active,5,726,726,780.8928923010826,0.03361647539779453,43,82,70.38198268413544
fold4_active,6,700,700,626.8560801148415,0.02698538071340731,33,574,64.72619891166687
fold4_active,7,53,53,593.0567582845688,0.025530361616714826,43,504,76.240917801857
fold4_active,8,748,748,363.5203016400337,0.015649100404373215,21,502,88.75183659791946
fold4_active,9,287,287,260.20135474205017,0.011201347235193436,4,294,127.61120998859406
fold4_active,10,530,530,251.5754737854004,0.0108300137042798,11,502,82.16632753610611
fold4_active,11,396,396,224.22942984104156,0.009652800257281095,6,76,60.33052682876587
fold4_active,12,843,843,186.89496314525604,0.008045597536469606,7,354,56.55943924188614
fold4_active,13,37,37,157.58971118927002,0.0067840426022178265,8,753,30.00112295150757
fold4_active,14,233,233,123.96723818778992,0.005336636629374783,12,636,52.95777463912964
fold4_active,15,860,860,105.85436350107193,0.004556899725258327,3,327,54.06823992729187
fold4_active,16,370,370,94.98335099220276,0.004088916051496554,8,170,35.20506250858307
fold4_active,17,196,196,60.90182077884674,0.002621748232155288,2,199,60.20048129558563
fold4_active,18,680,680,59.23357576131821,0.0025499323427520862,3,492,48.770811676979065
fold4_active,19,50,50,55.93097120523453,0.002407759292001068,4,443,37.391794979572296
fold4_active,20,848,848,52.13723438978195,0.0022444436035376145,2,799,30.82600039243698
fold4_active,21,597,597,44.2164289355278,0.001903462702944415,2,606,41.76252692937851
fold4_active,22,376,376,40.31264024972916,0.0017354094172657166,1,327,40.31264024972916
fold4_active,23,270,270,40.248666524887085,0.0017326554273543453,1,680,40.248666524887085
fold4_active,24,449,449,36.73493218421936,0.0015813934999094992,2,443,25.08424437046051
fold4_active,25,464,464,36.45769888162613,0.0015694589483366038,3,683,27.919551253318787
fold4_active,26,799,799,35.253345251083374,0.001517613010704769,2,327,21.827090799808502
fold4_active,27,544,544,34.64303171634674,0.001491339766156521,1,161,34.64303171634674
fold4_active,28,554,554,33.56899547576904,0.0014451038313520344,1,649,33.56899547576904
fold4_active,29,762,762,33.032063245773315,0.001421989561420922,3,167,18.551229059696198
fold4_active,30,711,711,32.22612929344177,0.0013872950992892897,3,296,27.633258521556854
fold4_active,31,824,824,30.956123769283295,0.001332622928651225,1,649,30.956123769283295
fold4_active,32,796,796,30.719982981681824,0.0013224573591408804,1,27,30.719982981681824
fold4_active,33,787,787,24.355055391788483,0.0010484550806672075,1,16,24.355055391788483
fold4_active,34,170,170,23.237271785736084,0.0010003358757629444,1,537,23.237271785736084
fold4_active,35,198,198,20.920424222946167,0.0009005984471567454,1,713,20.920424222946167
fold4_active,36,743,743,20.3573077917099,0.0008763569796733288,1,524,20.3573077917099
fold4_active,37,115,115,16.81090086698532,0.0007236885378025502,1,529,16.81090086698532
fold4_active,38,245,245,16.722650349140167,0.0007198894619097703,1,61,16.722650349140167
fold4_active,39,295,295,13.693651139736176,0.0005894947837064389,1,747,13.693651139736176
fold4_active,40,817,817,13.212926924228668,0.0005688001994387908,2,351,7.10019987821579
fold4_active,41,567,567,12.170725405216217,0.0005239347101138887,1,232,12.170725405216217
fold4_active,42,476,476,11.068932354450226,0.0004765038788824843,1,87,11.068932354450226
fold4_active,43,512,512,10.26444947719574,0.00044187188374230404,1,418,10.26444947719574
fold4_active,44,820,820,10.225312054157257,0.0004401870659757736,1,649,10.225312054157257
