ensemble,kind,candidate,group,projection,weight,weight_mean,weight_min,weight_max,weight_std,alpha_mean
blend_baseline_static_alpha_0.20,baseline_static_blend,baseline_p2,baseline,2,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.2
blend_baseline_static_alpha_0.20,baseline_static_blend,static_p0,static,0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.2
blend_baseline_static_alpha_0.20,baseline_static_blend,static_p1,static,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.2
blend_baseline_static_alpha_0.20,baseline_static_blend,static_p2,static,2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.2
blend_baseline_static_alpha_0.25,baseline_static_blend,baseline_p0,baseline,0,0.25,0.25,0.25,0.25,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,baseline_p1,baseline,1,0.25,0.25,0.25,0.25,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,baseline_p2,baseline,2,0.25,0.25,0.25,0.25,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,static_p0,static,0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,static_p1,static,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.25
blend_baseline_static_alpha_0.25,baseline_static_blend,static_p2,static,2,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.25
blend_baseline_static_alpha_0.30,baseline_static_blend,baseline_p0,baseline,0,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,0.3
blend_baseline_static_alpha_0.30,baseline_static_blend,baseline_p1,baseline,1,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,0.3
blend_baseline_static_alpha_0.30,baseline_static_blend,baseline_p2,baseline,2,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,0.3
blend_baseline_static_alpha_0.30,baseline_static_blend,static_p0,static,0,0.1,0.1,0.1,0.1,0.0,0.3
blend_baseline_static_alpha_0.30,baseline_static_blend,static_p1,static,1,0.1,0.1,0.1,0.1,0.0,0.3
blend_baseline_static_alpha_0.30,baseline_static_blend,static_p2,static,2,0.1,0.1,0.1,0.1,0.0,0.3
blend_baseline_static_alpha_0.35,baseline_static_blend,baseline_p0,baseline,0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,baseline_p1,baseline,1,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,baseline_p2,baseline,2,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,static_p0,static,0,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,static_p1,static,1,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,static_p2,static,2,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.0,0.35
blend_baseline_static_alpha_0.40,baseline_static_blend,baseline_p0,baseline,0,0.2,0.2,0.2,0.2,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,baseline_p1,baseline,1,0.2,0.2,0.2,0.2,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,baseline_p2,baseline,2,0.2,0.2,0.2,0.2,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,static_p0,static,0,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,static_p1,static,1,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,static_p2,static,2,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.0,0.4
blend_baseline_static_alpha_0.45,baseline_static_blend,baseline_p0,baseline,0,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.0,0.45
blend_baseline_static_alpha_0.45,baseline_static_blend,baseline_p1,baseline,1,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.0,0.45
blend_baseline_static_alpha_0.45,baseline_static_blend,baseline_p2,baseline,2,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.0,0.45
blend_baseline_static_alpha_0.45,baseline_static_blend,static_p0,static,0,0.15,0.15,0.15,0.15,0.0,0.45
blend_baseline_static_alpha_0.45,baseline_static_blend,static_p1,static,1,0.15,0.15,0.15,0.15,0.0,0.45
blend_baseline_static_alpha_0.45,baseline_static_blend,static_p2,static,2,0.15,0.15,0.15,0.15,0.0,0.45
blend_baseline_static_alpha_0.50,baseline_static_blend,baseline_p0,baseline,0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,baseline_p1,baseline,1,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,baseline_p2,baseline,2,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,static_p0,static,0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,static_p1,static,1,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.5
blend_baseline_static_alpha_0.50,baseline_static_blend,static_p2,static,2,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.5
blend_baseline_static_alpha_0.55,baseline_static_blend,baseline_p0,baseline,0,0.15,0.15,0.15,0.15,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,baseline_p1,baseline,1,0.15,0.15,0.15,0.15,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,baseline_p2,baseline,2,0.15,0.15,0.15,0.15,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,static_p0,static,0,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,static_p1,static,1,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.0,0.55
blend_baseline_static_alpha_0.55,baseline_static_blend,static_p2,static,2,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.0,0.55
blend_baseline_static_alpha_0.60,baseline_static_blend,baseline_p0,baseline,0,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,baseline_p1,baseline,1,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,baseline_p2,baseline,2,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.13333333333333336,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,static_p0,static,0,0.2,0.2,0.2,0.2,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,static_p1,static,1,0.2,0.2,0.2,0.2,0.0,0.6
blend_baseline_static_alpha_0.60,baseline_static_blend,static_p2,static,2,0.2,0.2,0.2,0.2,0.0,0.6
blend_baseline_static_alpha_0.65,baseline_static_blend,baseline_p0,baseline,0,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,baseline_p1,baseline,1,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,baseline_p2,baseline,2,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,static_p0,static,0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,static_p1,static,1,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.0,0.65
blend_baseline_static_alpha_0.65,baseline_static_blend,static_p2,static,2,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.0,0.65
blend_baseline_static_alpha_0.70,baseline_static_blend,baseline_p0,baseline,0,0.10000000000000003,0.10000000000000003,0.10000000000000003,0.10000000000000003,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,baseline_p1,baseline,1,0.10000000000000003,0.10000000000000003,0.10000000000000003,0.10000000000000003,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,baseline_p2,baseline,2,0.10000000000000003,0.10000000000000003,0.10000000000000003,0.10000000000000003,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,static_p0,static,0,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,static_p1,static,1,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,0.7
blend_baseline_static_alpha_0.70,baseline_static_blend,static_p2,static,2,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,0.7
blend_baseline_static_alpha_0.75,baseline_static_blend,baseline_p0,baseline,0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,baseline_p1,baseline,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,baseline_p2,baseline,2,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,static_p0,static,0,0.25,0.25,0.25,0.25,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,static_p1,static,1,0.25,0.25,0.25,0.25,0.0,0.75
blend_baseline_static_alpha_0.75,baseline_static_blend,static_p2,static,2,0.25,0.25,0.25,0.25,0.0,0.75
blend_baseline_static_alpha_0.80,baseline_static_blend,baseline_p0,baseline,0,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,baseline_p1,baseline,1,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,baseline_p2,baseline,2,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,static_p0,static,0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,static_p1,static,1,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.8
blend_baseline_static_alpha_0.80,baseline_static_blend,static_p2,static,2,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.8
blend_baseline_static_alpha_0.85,baseline_static_blend,baseline_p0,baseline,0,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,baseline_p1,baseline,1,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,baseline_p2,baseline,2,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,static_p0,static,0,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,static_p1,static,1,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.85
blend_baseline_static_alpha_0.85,baseline_static_blend,static_p2,static,2,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.85
blend_baseline_static_alpha_0.90,baseline_static_blend,baseline_p0,baseline,0,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.9
blend_baseline_static_alpha_0.90,baseline_static_blend,baseline_p1,baseline,1,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.9
blend_baseline_static_alpha_0.90,baseline_static_blend,baseline_p2,baseline,2,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.9
blend_baseline_static_alpha_0.90,baseline_static_blend,static_p0,static,0,0.3,0.3,0.3,0.3,0.0,0.9
